,Unnamed: 0,customer_email,transaction_id,order_id,payment_method_id,payment_method_registration_failure,payment_method_type,payment_method_provider,transaction_amount,transaction_failed,order_state
62,62,gonzalesjackson@gmail.com,fzvbpn58,f8bsyg,7964l78jo,0,apple pay,VISA 16 digit,44,0,fulfilled
63,63,gonzalesjackson@gmail.com,1wa1s613,u3ogjs,7964l78jo,0,apple pay,VISA 16 digit,41,0,fulfilled
116,116,catherine64@gmail.com,s3hfs4fc,j4izq0,5ad6rm0sb,0,card,Maestro,65,0,failed
117,117,catherine64@gmail.com,8810813t,81bac4,rc5kwqehi,0,bitcoin,VISA 13 digit,75,0,pending
118,118,catherine64@gmail.com,iw7bakk3,y73qvk,0lqd0lah5,0,bitcoin,JCB 16 digit,58,0,fulfilled
119,119,catherine64@gmail.com,w2nnyowa,y73qvk,5ad6rm0sb,0,card,Maestro,58,1,fulfilled
120,120,catherine64@gmail.com,c2b8df2a,sd4v17,0tvw8yj4z,0,card,JCB 16 digit,58,0,fulfilled
129,129,9es7t@u6n7x,7m39em4p,3b9vdf,wl0wgtfn2,0,card,Voyager,16,1,fulfilled
130,130,9es7t@u6n7x,yz35aas7,3b9vdf,wl0wgtfn2,0,card,Voyager,16,0,fulfilled
152,152,johnlowery@gmail.com,7sdl8reg,kr2w5f,tfff8yjzo,0,card,American Express,32,0,failed
153,153,johnlowery@gmail.com,i25dewqi,kr2w5f,tfff8yjzo,0,card,American Express,32,1,failed
154,154,johnlowery@gmail.com,bpvdqkr7,4x7vmr,tfff8yjzo,0,card,American Express,21,0,fulfilled
155,155,jamescampbell@randall-pacheco.biz,n53a4z93,typkze,suusse06u,0,card,VISA 13 digit,10,0,fulfilled
156,156,jamescampbell@randall-pacheco.biz,nq16vew4,typkze,c4lqxg7tb,0,card,Discover,10,1,fulfilled
157,157,jamescampbell@randall-pacheco.biz,r40gi7kt,typkze,c4lqxg7tb,0,card,Discover,10,1,fulfilled
158,158,jamescampbell@randall-pacheco.biz,so2vwp1v,gar4v9,c4lqxg7tb,0,card,Discover,11,1,fulfilled
159,159,jamescampbell@randall-pacheco.biz,ulr6tqlz,gar4v9,c4lqxg7tb,0,card,Discover,11,0,fulfilled
160,160,jamescampbell@randall-pacheco.biz,8hc4ygjd,ougwoy,suusse06u,0,card,VISA 13 digit,47,0,fulfilled
161,161,jamescampbell@randall-pacheco.biz,vpzfovrf,ougwoy,c4lqxg7tb,0,card,Discover,47,1,fulfilled
172,172,kristina41@gmail.com,o022s00u,d6sbjc,bkopk7uzs,0,card,VISA 16 digit,51,1,fulfilled
173,173,kristina41@gmail.com,w7ludkyz,d6sbjc,bkopk7uzs,0,card,VISA 16 digit,51,0,fulfilled
174,174,kristina41@gmail.com,ohw0eoga,izroq8,bwj2e7i76,0,card,Mastercard,36,0,fulfilled
175,175,kristina41@gmail.com,uusnh2tp,9spaf7,bwj2e7i76,0,card,Mastercard,60,0,fulfilled
176,176,kristina41@gmail.com,0niv9sm2,8f7mcp,bwj2e7i76,0,card,Mastercard,52,0,fulfilled
177,177,kristina41@gmail.com,by1ob38p,xwtnot,bwj2e7i76,0,card,Mastercard,68,0,fulfilled
178,178,kristina41@gmail.com,h96uhgzk,iaousp,cm5dp45zh,0,apple pay,JCB 16 digit,51,0,fulfilled
189,189,uguzman@yahoo.com,ftiso5mr,32rax6,73a2hlmnm,0,card,VISA 16 digit,353,1,fulfilled
198,198,feliciabrown@gmail.com,55tz7m12,jp7kqk,0ma0yi3jg,0,card,JCB 16 digit,41,0,fulfilled
208,208,joserowland@jones.com,yjfirs14,u5a84z,r2v5bgqxf,0,card,VISA 16 digit,31,0,fulfilled
209,209,joserowland@jones.com,hrzejsy4,809d5o,f3l73qqm9,0,card,American Express,46,0,fulfilled
210,210,joserowland@jones.com,6xtouwt2,734b9q,f3l73qqm9,0,card,American Express,16,0,fulfilled
211,211,joserowland@jones.com,u2mtko2f,02x0ec,yym5xo9qi,0,card,Diners Club / Carte Blanche,15,0,fulfilled
216,216,hj8maoy@1jcfcxs7,ixardum8,qfteet,7b7gmp8al,0,card,VISA 16 digit,12,0,failed
217,217,hj8maoy@1jcfcxs7,01qy7cu0,8a35qi,7b7gmp8al,0,card,VISA 16 digit,48,1,failed
218,218,hj8maoy@1jcfcxs7,b2llml7i,8a35qi,7b7gmp8al,0,card,VISA 16 digit,48,0,failed
219,219,hj8maoy@1jcfcxs7,cwqkwqg6,sw4bii,7b7gmp8al,0,card,VISA 16 digit,41,0,fulfilled
220,220,hj8maoy@1jcfcxs7,ao9gm8ru,5xh1fc,7b7gmp8al,0,card,VISA 16 digit,29,0,fulfilled
221,221,hj8maoy@1jcfcxs7,eyudgsxk,m6pkzg,pr3xs6kdy,0,paypal,VISA 13 digit,22,0,fulfilled
229,229,suzanne21@gmail.com,hpcgclef,l4hhqu,6ke43eyg9,0,card,Voyager,37,0,failed
230,230,suzanne21@gmail.com,5mub2d51,z2x7az,6ke43eyg9,0,card,Voyager,31,0,fulfilled
231,231,suzanne21@gmail.com,vdwjlp18,z2x7az,6ke43eyg9,0,card,Voyager,31,1,fulfilled
232,232,suzanne21@gmail.com,95qmlxm7,910715,5i61lz4t2,0,bitcoin,Discover,24,0,fulfilled
233,233,suzanne21@gmail.com,jreh2bkw,910715,5i61lz4t2,0,bitcoin,Discover,24,1,fulfilled
234,234,johnlowery@gmail.com,qenelvvf,3ougge,opyep1aoj,0,card,VISA 16 digit,11,1,fulfilled
235,235,johnlowery@gmail.com,w5wkltds,3ougge,opyep1aoj,0,card,VISA 16 digit,11,0,fulfilled
236,236,johnlowery@gmail.com,m0vig74t,6p7c0x,opyep1aoj,0,card,VISA 16 digit,42,0,fulfilled
237,237,johnlowery@gmail.com,ao66pcnh,dd8z28,opyep1aoj,0,card,VISA 16 digit,37,0,fulfilled
238,238,johnlowery@gmail.com,0ltw4chk,0b6r24,opyep1aoj,0,card,VISA 16 digit,30,0,fulfilled
239,239,johnlowery@gmail.com,h1zprjml,0b6r24,opyep1aoj,0,card,VISA 16 digit,30,1,fulfilled
240,240,johnlowery@gmail.com,aoyfjmwf,9eubwc,opyep1aoj,0,card,VISA 16 digit,12,0,fulfilled
242,242,cathy42@gibson.com,h469bpo6,d5r0n3,d1nvhtt2q,0,card,Diners Club / Carte Blanche,14,0,fulfilled
243,243,cathy42@gibson.com,vj05ozm5,8lc2cq,d1nvhtt2q,0,card,Diners Club / Carte Blanche,23,0,fulfilled
244,244,cathy42@gibson.com,aziryp5p,ssqc0h,rz1xfmc67,0,card,Mastercard,50,0,fulfilled
276,276,nancymayo@brown.com,ht0fcw33,ab2hxc,8mjcums28,1,apple pay,American Express,46,0,fulfilled
277,277,nancymayo@brown.com,d6rooqlh,r8occu,oxpsbpotn,0,apple pay,Diners Club / Carte Blanche,72,0,fulfilled
278,278,nancymayo@brown.com,5unj4ehj,ky361o,8mjcums28,1,apple pay,American Express,50,0,fulfilled
279,279,nancymayo@brown.com,gkkxcjim,92e8bp,oxpsbpotn,0,apple pay,Diners Club / Carte Blanche,42,1,failed
280,280,nancymayo@brown.com,uhz22wkv,92e8bp,8mjcums28,1,apple pay,American Express,42,0,failed
281,281,nancymayo@brown.com,lg7lup4i,fu7lla,oxpsbpotn,0,apple pay,Diners Club / Carte Blanche,56,0,fulfilled
282,282,nancymayo@brown.com,4z7tp93o,c5b579,oxpsbpotn,0,apple pay,Diners Club / Carte Blanche,30,0,pending
283,283,johnlowery@gmail.com,hjsrew5l,np906j,a8dggs0xt,0,card,JCB 16 digit,40,0,fulfilled
284,284,johnlowery@gmail.com,e93zwysp,p1yimo,a8dggs0xt,0,card,JCB 16 digit,34,0,fulfilled
285,285,warrenedward@arnold.com,0w4ng8t4,03euof,v50sqfm8h,1,card,American Express,47,0,fulfilled
286,286,warrenedward@arnold.com,1od1zuej,e32v3f,3ahrb9ife,0,card,Voyager,31,0,fulfilled
287,287,warrenedward@arnold.com,409r48ot,v3f3bo,bhta4vgb5,0,apple pay,VISA 13 digit,28,0,fulfilled
288,288,warrenedward@arnold.com,kaxr9ib2,mfgt1j,v50sqfm8h,1,card,American Express,11,0,fulfilled
294,294,jonathan99@stafford.org,ziw7e3wa,dyyrat,2nfc926ij,0,card,Mastercard,46,0,fulfilled
295,295,jonathan99@stafford.org,d25j8j1o,kwmuvx,2nfc926ij,0,card,Mastercard,46,0,pending
296,296,lleonard@turner-fleming.com,rids9xcr,vliicw,pube8iuin,0,card,JCB 15 digit,59,1,fulfilled
297,297,lleonard@turner-fleming.com,vfr9e4p1,vliicw,pube8iuin,0,card,JCB 15 digit,59,0,fulfilled
298,298,lleonard@turner-fleming.com,7vettvqh,a6e85x,pube8iuin,0,card,JCB 15 digit,71,0,fulfilled
299,299,lleonard@turner-fleming.com,8zufs56k,s2yu52,pube8iuin,0,card,JCB 15 digit,75,0,fulfilled
300,300,lleonard@turner-fleming.com,iavr78ml,2dt9hc,pube8iuin,0,card,JCB 15 digit,56,0,fulfilled
301,301,lleonard@turner-fleming.com,po2qgue2,2dt9hc,pube8iuin,0,card,JCB 15 digit,56,1,fulfilled
302,302,lleonard@turner-fleming.com,02xzx7s8,c8czvd,pube8iuin,0,card,JCB 15 digit,48,0,pending
303,303,lleonard@turner-fleming.com,ubhcpkcn,aexkeb,pube8iuin,0,card,JCB 15 digit,55,0,fulfilled
304,304,lleonard@turner-fleming.com,0zv4q3v7,014gsw,pube8iuin,0,card,JCB 15 digit,67,0,pending
305,305,lleonard@turner-fleming.com,gidcndd6,014gsw,pube8iuin,0,card,JCB 15 digit,67,1,pending
306,306,lleonard@turner-fleming.com,bkink4ub,8lwtag,pube8iuin,0,card,JCB 15 digit,40,0,failed
307,307,whitedavid@jones-lloyd.org,3pymh6mw,gdsjvg,twmq62jy6,1,card,JCB 16 digit,70,0,fulfilled
308,308,whitedavid@jones-lloyd.org,unkt953p,3oa84g,schhirx31,0,card,JCB 16 digit,52,0,fulfilled
309,309,whitedavid@jones-lloyd.org,009jh4iq,a8rmch,twmq62jy6,1,card,JCB 16 digit,73,0,fulfilled
310,310,whitedavid@jones-lloyd.org,bjtbye6a,znuuw1,schhirx31,0,card,JCB 16 digit,43,0,failed
311,311,whitedavid@jones-lloyd.org,i8ish28k,0ssrq7,twmq62jy6,1,card,JCB 16 digit,45,0,fulfilled
316,316,shelby24@hotmail.com,8bksc5m8,38153h,ust8991vz,1,card,Diners Club / Carte Blanche,40,0,fulfilled
317,317,shelby24@hotmail.com,uy4yp6pt,ocwyyj,ws9sghi5j,0,card,Mastercard,33,1,failed
318,318,shelby24@hotmail.com,vjunxb2y,ocwyyj,ust8991vz,1,card,Diners Club / Carte Blanche,33,0,failed
319,319,shelby24@hotmail.com,9s2ob8gu,99fepx,ws9sghi5j,0,card,Mastercard,50,0,fulfilled
320,320,shelby24@hotmail.com,z2u9dn7i,zjigls,ust8991vz,1,card,Diners Club / Carte Blanche,36,0,fulfilled
325,325,brittanydean@hotmail.com,mq9xpl0j,4x5z1z,te1pi876k,0,card,Voyager,36,0,fulfilled
326,326,brittanydean@hotmail.com,rsxqencf,4x5z1z,te1pi876k,0,card,Voyager,36,1,fulfilled
327,327,brittanydean@hotmail.com,xqb78j8d,4x5z1z,te1pi876k,0,card,Voyager,36,1,fulfilled
328,328,brittanydean@hotmail.com,tujxikee,cilumk,te1pi876k,0,card,Voyager,15,0,fulfilled
329,329,brittanydean@hotmail.com,08k9grki,znrz7h,te1pi876k,0,card,Voyager,43,0,fulfilled
330,330,brittanydean@hotmail.com,28ddf0q0,ysg7hn,te1pi876k,0,card,Voyager,36,0,fulfilled
339,339,craig83@rasmussen-alvarado.com,rkahezdu,nzxaq8,dmbt74m31,0,bitcoin,Maestro,20,0,fulfilled
340,340,craig83@rasmussen-alvarado.com,crl6tv84,8yj5xm,2g0jtwk7z,0,apple pay,Diners Club / Carte Blanche,21,1,fulfilled
345,345,vmiller@hotmail.com,a77klpib,5qsujo,syeg4jsea,0,card,JCB 16 digit,36,0,fulfilled
346,346,vmiller@hotmail.com,ip5tk6rk,e079kp,syeg4jsea,0,card,JCB 16 digit,60,0,fulfilled
347,347,vmiller@hotmail.com,0kkdyxv9,e4zp2d,syeg4jsea,0,card,JCB 16 digit,57,0,fulfilled
348,348,vmiller@hotmail.com,mjnf4ynr,uwlkgq,syeg4jsea,0,card,JCB 16 digit,59,1,fulfilled
349,349,vmiller@hotmail.com,1hnqqte8,1r723d,syeg4jsea,0,card,JCB 16 digit,64,0,fulfilled
350,350,vmiller@hotmail.com,chhgzokp,1r723d,syeg4jsea,0,card,JCB 16 digit,64,1,fulfilled
351,351,vmiller@hotmail.com,1fvxj1f7,kclajf,syeg4jsea,0,card,JCB 16 digit,54,0,fulfilled
352,352,vmiller@hotmail.com,2pxfi412,src36a,syeg4jsea,0,card,JCB 16 digit,55,0,fulfilled
353,353,vmiller@hotmail.com,vmzjq1hz,src36a,syeg4jsea,0,card,JCB 16 digit,55,1,fulfilled
354,354,vmiller@hotmail.com,tp8rcpaj,urki6d,syeg4jsea,0,card,JCB 16 digit,47,0,failed
355,355,david45@gmail.com,37wzwli3,xmco0d,g7u0onbnv,0,card,JCB 15 digit,74,0,fulfilled
356,356,david45@gmail.com,t08f5g4x,6kc5n5,u1ae0romw,0,card,Discover,57,0,fulfilled
357,357,david45@gmail.com,1nm2xl3k,l35jjq,g7u0onbnv,0,card,JCB 15 digit,57,1,fulfilled
358,358,david45@gmail.com,o09fmom1,l35jjq,60ktm2k9f,0,bitcoin,JCB 16 digit,57,1,fulfilled
359,359,david45@gmail.com,rbjz1iom,l35jjq,g7u0onbnv,0,card,JCB 15 digit,57,1,fulfilled
360,360,david45@gmail.com,lva5by83,ujgjis,u1ae0romw,0,card,Discover,53,0,fulfilled
361,361,david45@gmail.com,1jpyo91x,3hprb8,s5crwdixe,0,apple pay,Voyager,61,0,fulfilled
362,362,david45@gmail.com,w7v8dfj3,745ioj,tulie7ios,0,card,Diners Club / Carte Blanche,67,0,fulfilled
363,363,david45@gmail.com,55dcono8,fc3nvv,tulie7ios,0,card,Diners Club / Carte Blanche,47,0,fulfilled
364,364,david45@gmail.com,88pxkgun,owjv3s,u1ae0romw,0,card,Discover,36,0,fulfilled
365,365,fdavis@wolfe-brown.com,4r72r534,ohf8go,ru53ucaj4,0,card,Diners Club / Carte Blanche,17,0,fulfilled
366,366,fdavis@wolfe-brown.com,0flz070f,06hsk6,ru53ucaj4,0,card,Diners Club / Carte Blanche,25,0,fulfilled
367,367,fdavis@wolfe-brown.com,lbfnlnfe,u4dydn,gims4zlcp,0,card,Voyager,30,0,fulfilled
378,378,mtrevino@gutierrez.net,wkw8llhg,m6zkwn,js2v4zlym,0,card,American Express,17,1,pending
379,379,tmcpherson@wright.com,8ko07llh,51pdq1,w8f4lcsen,1,card,VISA 13 digit,72,1,fulfilled
380,380,tmcpherson@wright.com,a0krnphc,51pdq1,w8f4lcsen,1,card,VISA 13 digit,72,1,fulfilled
381,381,tmcpherson@wright.com,jwdcjcvh,bve6ws,w8f4lcsen,1,card,VISA 13 digit,60,0,fulfilled
382,382,tmcpherson@wright.com,x84iyy6o,bve6ws,w8f4lcsen,1,card,VISA 13 digit,60,1,fulfilled
383,383,tmcpherson@wright.com,rilyerv3,6sv4im,w8f4lcsen,1,card,VISA 13 digit,42,0,fulfilled
384,384,tmcpherson@wright.com,nob1c9da,loejqo,w8f4lcsen,1,card,VISA 13 digit,33,0,pending
385,385,tmcpherson@wright.com,6h400s45,qrkjwn,w8f4lcsen,1,card,VISA 13 digit,33,0,fulfilled
386,386,tmcpherson@wright.com,p9l1ry2z,qrkjwn,w8f4lcsen,1,card,VISA 13 digit,33,1,fulfilled
387,387,tmcpherson@wright.com,37xngvsx,bvbmdr,w8f4lcsen,1,card,VISA 13 digit,35,0,fulfilled
388,388,tmcpherson@wright.com,4yoepvao,etpzqt,w8f4lcsen,1,card,VISA 13 digit,40,0,fulfilled
389,389,tmcpherson@wright.com,cthnkebs,etpzqt,w8f4lcsen,1,card,VISA 13 digit,40,1,fulfilled
390,390,tmcpherson@wright.com,ho3ia5k6,etpzqt,w8f4lcsen,1,card,VISA 13 digit,40,1,fulfilled
391,391,tmcpherson@wright.com,7l217x0d,p3i7n9,w8f4lcsen,1,card,VISA 13 digit,36,0,fulfilled
392,392,wdelacruz@yahoo.com,z7wlutjb,lqc3os,n8g5z0l5a,0,card,JCB 16 digit,66,1,fulfilled
393,393,wdelacruz@yahoo.com,7prmsn0c,q60uc8,n8g5z0l5a,0,card,JCB 16 digit,46,0,failed
394,394,wdelacruz@yahoo.com,y57y5psb,fsnt56,n8g5z0l5a,0,card,JCB 16 digit,47,0,failed
395,395,wdelacruz@yahoo.com,m4c0aa62,j6lfpo,n8g5z0l5a,0,card,JCB 16 digit,72,0,fulfilled
396,396,brooksdustin@knight.info,57bf8t4x,8p5okv,tmx17utwv,0,card,VISA 16 digit,17,0,fulfilled
412,412,ugood@mosley.info,gpeuthlg,eqaoio,3zzg1etrq,0,card,VISA 13 digit,74,0,fulfilled
413,413,ugood@mosley.info,6qeucn7v,ye3d01,jcbfj9zj6,0,card,Diners Club / Carte Blanche,67,0,fulfilled
420,420,marywalker@gmail.com,59di64ja,9wfg0y,6p0e0gdmy,0,card,VISA 16 digit,14,0,fulfilled
421,421,marywalker@gmail.com,9fxpqd1e,9wfg0y,dakq3e620,0,card,JCB 16 digit,14,1,fulfilled
422,422,marywalker@gmail.com,mpqpuama,f2u6qh,dakq3e620,0,card,JCB 16 digit,35,0,failed
423,423,marywalker@gmail.com,v19i5ylc,hw28hx,dakq3e620,0,card,JCB 16 digit,19,0,fulfilled
429,429,amywright@wallace-johnson.com,sbuj220x,a98xev,88huac0bv,1,bitcoin,VISA 16 digit,74,0,failed
430,430,amywright@wallace-johnson.com,lwfud9ou,skhh6n,88huac0bv,1,bitcoin,VISA 16 digit,46,0,failed
431,431,amywright@wallace-johnson.com,ewy4l0pq,6hb7do,88huac0bv,1,bitcoin,VISA 16 digit,71,1,fulfilled
432,432,amywright@wallace-johnson.com,bukm9xs4,hd6eyt,88huac0bv,1,bitcoin,VISA 16 digit,45,0,failed
433,433,amywright@wallace-johnson.com,aus7niea,y942bm,88huac0bv,1,bitcoin,VISA 16 digit,32,0,fulfilled
434,434,amywright@wallace-johnson.com,1vw81h7t,t8lnr5,88huac0bv,1,bitcoin,VISA 16 digit,44,0,fulfilled
435,435,iray@rogers.com,amyaqwxv,1pxm7n,jwnmuewma,0,card,VISA 16 digit,61,0,fulfilled
436,436,iray@rogers.com,6wmrhsvw,fdv49s,736fivko4,0,card,Voyager,40,0,fulfilled
437,437,iray@rogers.com,76kkztvq,hyopfu,jwnmuewma,0,card,VISA 16 digit,49,0,fulfilled
438,438,iray@rogers.com,me89f00o,g9g7pj,j0eyk4wni,0,card,Diners Club / Carte Blanche,46,0,failed
439,439,iray@rogers.com,tzys1r4y,r0ufv3,j0eyk4wni,0,card,Diners Club / Carte Blanche,31,0,fulfilled
440,440,ctaylor@yahoo.com,us3sl1w5,i1lv0z,cf3mkd213,0,card,JCB 16 digit,66,0,fulfilled
441,441,ctaylor@yahoo.com,fmt8i50f,94aoa8,jjfiirq8l,0,card,JCB 16 digit,70,0,fulfilled
442,442,ctaylor@yahoo.com,3asqnj9h,lrdgn8,rqtzq4iov,0,card,VISA 16 digit,32,0,fulfilled
443,443,ctaylor@yahoo.com,sw8vizzn,lrdgn8,xp5bh6v2n,0,card,Maestro,32,1,fulfilled
444,444,ctaylor@yahoo.com,tnzw0wf9,e0amku,jjfiirq8l,0,card,JCB 16 digit,50,0,fulfilled
445,445,ctaylor@yahoo.com,22wpoikc,z3tdfo,rqtzq4iov,0,card,VISA 16 digit,38,0,fulfilled
446,446,ctaylor@yahoo.com,464cuad3,z3tdfo,jjfiirq8l,0,card,JCB 16 digit,38,1,fulfilled
447,447,ctaylor@yahoo.com,iwr5gm7i,qyqvn4,q96qd8pcw,0,card,American Express,72,0,fulfilled
453,453,koneal@henderson.biz,s7kvbnb1,p6xjf3,h6cv0t3ga,0,bitcoin,VISA 16 digit,23,0,fulfilled
454,454,koneal@henderson.biz,htkv5ymx,20hwn4,h6cv0t3ga,0,bitcoin,VISA 16 digit,11,0,fulfilled
455,455,koneal@henderson.biz,7qdnutij,v8qxee,h6cv0t3ga,0,bitcoin,VISA 16 digit,38,0,fulfilled
456,456,koneal@henderson.biz,u2eijqhe,ygu87g,h6cv0t3ga,0,bitcoin,VISA 16 digit,26,0,fulfilled
463,463,oaguirre@hotmail.com,5s2j37z0,9lj87e,0d9jd80l2,0,apple pay,Voyager,47,0,fulfilled
483,483,aliciaanthony@martin.com,d27dmlyt,dzj9zm,5tyvyueom,0,card,Maestro,45,0,fulfilled
484,484,aliciaanthony@martin.com,m5ojvu3i,od1sqr,5tyvyueom,0,card,Maestro,39,0,fulfilled
485,485,aliciaanthony@martin.com,jxosraoj,ijyrzl,5tyvyueom,0,card,Maestro,11,0,fulfilled
495,495,christinemills@mcgee.com,xo0ezry0,320w72,1dcru1vlg,0,card,Voyager,35,0,fulfilled
496,496,christinemills@mcgee.com,0ag8hv7x,rih88w,1dcru1vlg,0,card,Voyager,15,0,fulfilled
497,497,christinemills@mcgee.com,f0iufxzu,e5iy2q,1dcru1vlg,0,card,Voyager,45,0,fulfilled
498,498,christinemills@mcgee.com,0tnloyfm,npcwlm,xrqpqnjba,0,paypal,Voyager,13,0,fulfilled
499,499,christinemills@mcgee.com,d4oenk4o,hnt2yf,xrqpqnjba,0,paypal,Voyager,17,0,failed
521,521,gwilcox@hotmail.com,nzot2cqt,3h6s5x,ymqtqgnsg,0,card,JCB 16 digit,49,0,fulfilled
522,522,gwilcox@hotmail.com,fn9a0hml,k147nh,bddoq1fwc,0,card,Diners Club / Carte Blanche,63,0,fulfilled
523,523,gwilcox@hotmail.com,p22jityx,tv616g,p4of42zn1,0,card,Diners Club / Carte Blanche,55,1,pending
524,524,gwilcox@hotmail.com,6fm14ue0,3d0ip4,xlsn61ipv,1,card,VISA 13 digit,62,0,fulfilled
525,525,gwilcox@hotmail.com,rs1oex3s,3d0ip4,xlsn61ipv,1,card,VISA 13 digit,62,1,fulfilled
526,526,gwilcox@hotmail.com,ywydanw2,x9b0us,xlsn61ipv,1,card,VISA 13 digit,73,0,fulfilled
527,527,gwilcox@hotmail.com,dsjvchs7,wa8h1e,xlsn61ipv,1,card,VISA 13 digit,68,0,pending
543,543,1yf0@jedyz63t,foo56851,gcop7b,igpmsjd73,0,paypal,Mastercard,38,0,fulfilled
544,544,1yf0@jedyz63t,drngwa51,eftfwy,0l7kszls7,0,card,VISA 13 digit,11,0,fulfilled
545,545,1yf0@jedyz63t,5010w1m2,1ca3sy,vej6hz0vq,0,card,Maestro,45,1,fulfilled
546,546,1yf0@jedyz63t,xyavqxjg,1ca3sy,0l7kszls7,0,card,VISA 13 digit,45,0,fulfilled
547,547,1yf0@jedyz63t,84xwwv0d,is64fx,igpmsjd73,0,paypal,Mastercard,18,0,fulfilled
548,548,1yf0@jedyz63t,67o717jo,st9dv0,igpmsjd73,0,paypal,Mastercard,12,1,fulfilled
549,549,1yf0@jedyz63t,7nib2tyk,st9dv0,0l7kszls7,0,card,VISA 13 digit,12,0,fulfilled
550,550,1yf0@jedyz63t,cnion0pc,st9dv0,0l7kszls7,0,card,VISA 13 digit,12,1,fulfilled
551,551,1yf0@jedyz63t,i4edjdey,st9dv0,0l7kszls7,0,card,VISA 13 digit,12,1,fulfilled
552,552,1yf0@jedyz63t,pkc9dfn2,st9dv0,0l7kszls7,0,card,VISA 13 digit,12,1,fulfilled
558,558,kwalsh@lopez-gomez.biz,o39lupeq,hoxg2j,kjt28bu2n,1,card,Maestro,31,0,fulfilled
559,559,kwalsh@lopez-gomez.biz,x37r5o4e,j7u286,kjt28bu2n,1,card,Maestro,35,0,fulfilled
560,560,kwalsh@lopez-gomez.biz,hhg5fwwa,sc5ooc,2d00yljsp,0,paypal,VISA 13 digit,34,0,fulfilled
566,566,johnlowery@gmail.com,t2tr0zve,1c0bds,hs3hemcz6,0,card,Maestro,47,0,fulfilled
567,567,johnlowery@gmail.com,ckvws967,b8mpa4,hs3hemcz6,0,card,Maestro,22,0,fulfilled
568,568,johnlowery@gmail.com,gzs6it77,b8mpa4,hs3hemcz6,0,card,Maestro,22,1,fulfilled
