,Unnamed: 0,customer_email,customer_phone,customer_device,customer_ip_address,customer_billing_address,no_transactions,no_orders,no_payments,fraud,state
68,68,cathy42@gibson.com,754.248.6239x43965,c3r2qzqwc9anp6utob7n,7493:ab04:47ff:3a14:67d6:a128:a5b6:1500,"046 Carson Crescent
South Jacksonview, NV 22839-2652",3,3,15,True,Nevada
78,78,nancymayo@brown.com,830-346-6543x518,1asmfecu4hbv73a2r5jy,79.112.154.104,"6927 Nathan Mountains
North April, PA 95355-9109",7,6,2,True,Pennsylvania
79,79,johnlowery@gmail.com,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,True,Hawaii
80,80,warrenedward@arnold.com,201.737.5119x64000,6py7ewqjkxjw8zjl9eri,45.203.99.249,"49680 Brian Squares Apt. 122
Port Walterburgh, MH 02766-0708",4,4,14,True,Other
83,83,jonathan99@stafford.org,(986)656-8692x32356,1mt65bhu4bzyrmzeitz6,ecc1:e4b8:65e1:d1e:bf58:b09d:3c50:509,"4913 Wright Ranch
Roymouth, VI 48629",2,2,1,True,Other
84,84,lleonard@turner-fleming.com,1-414-937-7421x73705,yfpqgg5oxsn107veaala,97.111.97.42,"96103 Riley Walks
Michellefort, ID 98085-6066",11,8,1,True,Idaho
85,85,whitedavid@jones-lloyd.org,902.047.2861,jvab5ehh3y5u4spybjm4,95.228.108.171,"881 Jessica Ford
Ericksonhaven, FL 83492-3227",5,5,4,True,Florida
88,88,shelby24@hotmail.com,(071)934-3315x27613,obb41ux0zfa2td5ajo9s,45.203.99.249,"3271 Cynthia Groves
Port Jeremyberg, CO 27305",5,4,2,True,Colorado
90,90,brittanydean@hotmail.com,06238721842,yq8xiivmx4prlgx0gofo,3517:8e52:885:8640:a59:f5fd:cb33:b06a,"49680 Brian Squares Apt. 122
Port Walterburgh, MH 02766-0708",6,4,1,True,Other
93,93,craig83@rasmussen-alvarado.com,122-259-7479x336,s93o0wj3eqd9whcy9ng3,35.212.254.226,"10068 Adam Rapids Suite 792
Rileyburgh, GA 11372",2,2,13,True,Georgia
97,97,vmiller@hotmail.com,000-734-4774,b1tjk5s0j9ybj1qpt3ik,164.79.214.9,"PSC 9111, Box 9839
APO AA 57283-9646",10,8,1,True,Other
98,98,david45@gmail.com,(508)223-3834,l6qv05oe0h0j78kx84ex,9d8d:535b:36fc:8773:bec0:8fa5:3206:4cb5,"5360 Adams Falls Suite 829
Hensleymouth, WV 86746-6334",10,8,5,True,West Virginia
99,99,fdavis@wolfe-brown.com,143-448-8038x81186,gt7k74rsgtklj0zjx8gl,69.138.168.116,"6609 Hannah Road Suite 577
Richardchester, AL 20921",3,3,3,True,Alabama
102,102,mtrevino@gutierrez.net,390.417.8057,pycmjs4dqylc8rb0s9pt,6694:eef3:c2a3:9181:42a0:2df9:b2c1:2acd,"767 Tiffany Drive
Mirandaview, OH 42972-3228",1,1,4,True,Ohio
103,103,tmcpherson@wright.com,1-804-264-1481x08539,ui77ukzr5lnqpajdk03u,296d:59fe:a919:21ac:16dd:96f5:10b3:4f83,"7956 Alex Avenue Apt. 593
Port Michael, OK 41350",13,8,1,True,Oklahoma
104,104,wdelacruz@yahoo.com,155.688.4242x443,fmm4yabu9llergl9qbl9,cd18:5626:a1c4:7e99:addf:368e:c98:e772,"3074 Caroline Oval
Lake Maryburgh, MA 15880",4,4,1,True,Massachusetts
105,105,brooksdustin@knight.info,345.319.0722x7868,dhe9trcjv1fyr2vr18q2,172.69.105.137,"8554 John Forge Apt. 284
Port Kimberlyburgh, NM 29954-7053",1,1,2,True,New Mexico
112,112,ugood@mosley.info,869-856-7969,qdrwvtooysq6q0i0asm7,7847:656d:453b:4e2d:8493:82f8:cff:502e,"88979 Jennifer Field Suite 069
Robertchester, CT 26498-8802",2,2,4,True,Connecticut
115,115,marywalker@gmail.com,828-124-3490,kah1gtidszvnkih1lvtd,11.165.157.167,"4025 Rivera Mill
West Justin, UT 11158",4,3,3,True,Utah
119,119,amywright@wallace-johnson.com,629.489.3980,n29he2b6a841zcbiw2i9,254.155.117.48,"403 Anna Center Apt. 947
Meganhaven, GA 46627",6,6,1,True,Georgia
120,120,iray@rogers.com,738-700-9649x102,qkkvc35qa3mx8g1t1jr2,4338:887b:3e9b:f16d:7257:2a21:6559:e9a4,"Unit 4843 Box 7401
DPO AP 92304-9120",5,5,5,True,Other
121,121,ctaylor@yahoo.com,1-020-923-6697x8718,uu141ykhyig0cj3s98jr,dda2:66e0:4279:3c1b:ac29:4cbb:5ea3:c26b,"87096 Warren Turnpike
Howellview, WA 74727-2420",8,6,6,True,Washington
126,126,koneal@henderson.biz,059.431.5467x7848,gcfo5uheb9mugbstbjez,85.188.105.126,"056 Megan Trail Suite 355
West Zachary, GU 51278-2318",4,4,1,True,Other
129,129,oaguirre@hotmail.com,1-856-006-5150,cvtpgtclxkvcwvr16cyd,ae37:8e14:bfc1:43c4:7dde:7b9e:ca7f:4721,"719 Jeremy Flat Apt. 914
Alexanderport, IA 97423-7424",1,1,4,True,Iowa
136,136,aliciaanthony@martin.com,+77(2)4526373005,9iac2it77dm615ucymx3,110.221.131.62,"265 Marisa Keys
Lynchmouth, WV 63252-7526",3,3,1,True,West Virginia
141,141,christinemills@mcgee.com,(651)355-4709,zbn9it3s7yl69bjtrnqf,45.203.99.249,"5156 Greene Park Apt. 748
New Sandra, CA 14802-7364",5,5,2,True,California
144,144,gwilcox@hotmail.com,1-114-728-2835x715,3pfhcvbn8itarkhxl087,168.56.122.190,"77436 Denise Key Suite 828
Mayschester, AR 65254-4549",7,6,5,True,Arkansas
151,151,1yf0@jedyz63t,463-609-3475,j3a0155srqw0yeqvbgps,1fe2:1fa3:2a6f:845d:1037:2dac:2831:9d50,"12350 Nicholas Greens
Lawsonborough, NC 70237-3962",10,5,4,True,North Carolina
153,153,kwalsh@lopez-gomez.biz,04103378280,mdoe6wib243y09uaj95z,3162:1f06:9114:56d1:f5e8:bf3a:6ad0:b6f2,"0008 Jessica Stream
Mcbridetown, MH 04017",3,3,2,True,Other
155,155,johnlowery@gmail.com,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,True,Indiana
160,160,deborah38@yahoo.com,06498402936,vc71dbmrdaz78jgi7nhl,8f3c:9e11:63b4:73bb:20d1:86c7:ab70:2e04,"391 Rogers Flats Apt. 287
North Rickchester, FM 35587",1,1,1,True,Other
161,161,andre74@patrick-decker.com,150-073-8610,4gfo1e3xeirjanhwko92,d89c:db0:5ff9:a150:9e6c:482d:c900:fb33,"55197 Jeffrey Burgs Suite 700
Gardnerport, VA 04866-4230",5,4,4,True,Virginia
163,163,mitchellvickie@brewer-jones.com,313-124-3836x3528,ecu7ezz0ue67v3fce1o3,181.90.104.120,"829 Ramirez Dam Suite 648
Gatesview, OR 55669-8691",3,3,1,True,Oregon
164,164,sbrown@hughes.biz,(250)632-6631x02499,xgv918sclaz40qlp2fee,16.166.2.0,"9472 Pacheco Islands Suite 940
Drewburgh, AZ 04238",6,5,3,True,Arizona
165,165,johnlowery@gmail.com,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,True,Oklahoma
166,166,ethompson@jackson-sanders.com,962.300.2250,navessqcnmc9csfjn5cj,203.246.172.244,"16953 Jennifer Springs
Kathybury, IL 02095-3215",8,6,6,True,Illinois
